URSI,avg_degree,max_degree,std_degree,avg_strength,max_strength,total_strength,std_strength,density,avg_edge_weight,clustering_coef,transitivity,avg_betweenness,avg_eigenvector
M87121956,33.68571428571428,65,13.582071015173808,53169.4,239056.0,3721858.0,59313.324275265986,0.48819875776397514,1578.396098388465,0.029645751802499707,0.7015091236414553,0.04995617087414676,0.07097034811846681
M87165017,25.685714285714287,53,10.33654108648793,25464.585714285713,114638.0,1782521.0,23843.790805390498,0.3722567287784679,991.3909899888765,0.030629707509107526,0.6390559925960203,0.04999898510128688,0.07747388420076813
M87128444,28.6,55,12.453800337934716,37048.21428571428,167346.5,2593375.0,36616.81402088111,0.4144927536231884,1295.3921078921078,0.03614294583842578,0.6825689738625363,0.06080562659846546,0.07374753105414472
M87144889,27.114285714285714,62,11.628220422922919,33572.72857142857,154040.5,2350091.0,33280.822305977366,0.3929606625258799,1238.1933614330874,0.037658867696882196,0.6462476706759275,0.055030852920878504,0.07120968346731948
M87192333,31.771428571428572,63,13.838013305561532,40907.114285714284,183128.0,2863498.0,39824.57658677001,0.46045548654244306,1287.5440647482014,0.03472239287424318,0.7270527859237537,0.053428327852880285,0.07270437264499666
M87150639,26.714285714285715,56,10.345658657679774,35933.78571428572,163564.0,2515365.0,33586.945672024274,0.38716356107660455,1345.114973262032,0.03528227259665245,0.6316528122638454,0.054384362440628435,0.07183039851033174
M87115498,31.82857142857143,61,13.581469969433067,39580.08571428571,185474.0,2770606.0,43285.03875878819,0.46128364389233956,1243.5394973070017,0.03013325204437104,0.687002132405206,0.049003876913084075,0.06938687619571327
M87115517,25.428571428571427,54,10.944759252813231,29705.314285714285,131486.5,2079372.0,27412.9358008706,0.36853002070393376,1168.1865168539325,0.03781216271442009,0.6267448137580011,0.05287317825680996,0.07726469659005593
M87102217,30.37142857142857,59,12.788579088469556,41673.24285714285,188694.5,2917127.0,43438.10515128253,0.4401656314699793,1372.1199435559736,0.03227903592264624,0.6818329453797434,0.048576503064994114,0.0707812814460344
M87117167,30.314285714285713,63,13.138322198975088,35794.78571428572,165377.0,2505635.0,35593.36244156961,0.43933747412008284,1180.7893496701224,0.03370100779426539,0.6735138918802498,0.049083061318172756,0.075754551337691
M87184910,22.857142857142858,52,9.207583387443998,20146.52857142857,84766.5,1410257.0,17256.15087147721,0.33126293995859213,881.410625,0.03772629064834913,0.6148731237471275,0.05475683026833922,0.08180327639685211
